No.,5+life Prize,5+life Winners,5+life Total,5 Prize,5 Winners,5 Total,4+life Prize,4+life Winners,4+life Total,4 Prize,4 Winners,4 Total,3+life Prize,3+life Winners,3+life Total,3 Prize,3 Winners,3 Total,2+life Prize,2+life Winners,2+life Total,2 Prize,2 Winners,2 Total
274,3600000,0,0,120000,0,0,250,48,12000,50,289,14450,30,1672,50160,20,11920,238400,10,20829,208290,5,153531,767655
273,3600000,0,0,120000,1,120000,250,23,5750,50,198,9900,30,853,25590,20,9181,183620,10,13077,130770,5,128829,644145
272,3600000,0,0,120000,0,0,250,32,8000,50,319,15950,30,1502,45060,20,13075,261500,10,18062,180620,5,162381,811905
271,3600000,0,0,120000,0,0,250,49,12250,50,320,16000,30,1434,43020,20,12619,252380,10,18832,188320,5,158124,790620
270,3600000,0,0,120000,0,0,250,31,7750,50,272,13600,30,1223,36690,20,11182,223640,10,16561,165610,5,153837,769185
269,3600000,0,0,120000,0,0,250,30,7500,50,308,15400,30,1263,37890,20,11363,227260,10,17270,172700,5,151914,759570
268,3600000,0,0,120000,1,120000,250,42,10500,50,298,14900,30,1576,47280,20,13586,271720,10,18610,186100,5,165760,828800
267,3600000,0,0,120000,0,0,250,30,7500,50,256,12800,30,1219,36570,20,11511,230220,10,16788,167880,5,153483,767415
266,3600000,0,0,120000,1,120000,250,42,10500,50,368,18400,30,1408,42240,20,13114,262280,10,17291,172910,5,158848,794240
265,3600000,0,0,120000,0,0,250,24,6000,50,248,12400,30,954,28620,20,10409,208180,10,12424,124240,5,142580,712900
264,3600000,0,0,120000,0,0,250,27,6750,50,240,12000,30,1040,31200,20,9824,196480,10,15174,151740,5,137065,685325
263,3600000,0,0,120000,0,0,250,24,6000,50,309,15450,30,1332,39960,20,12897,257940,10,16362,163620,5,164608,823040
262,3600000,0,0,120000,0,0,250,32,8000,50,258,12900,30,1183,35490,20,10746,214920,10,16648,166480,5,147176,735880
261,3600000,0,0,120000,0,0,250,23,5750,50,269,13450,30,1177,35310,20,10615,212300,10,16156,161560,5,146798,733990
260,3600000,1,3600000,120000,0,0,250,28,7000,50,282,14100,30,1075,32250,20,11401,228020,10,13997,139970,5,154660,773300
259,3600000,0,0,120000,0,0,250,31,7750,50,222,11100,30,1154,34620,20,10314,206280,10,16137,161370,5,146956,734780
258,3600000,0,0,120000,6,720000,250,24,6000,50,279,13950,30,1330,39900,20,11524,230480,10,17347,173470,5,152416,762080
257,3600000,0,0,120000,1,120000,250,12,3000,50,203,10150,30,942,28260,20,9613,192260,10,12211,122110,5,134324,671620
256,3600000,0,0,120000,3,360000,250,55,13750,50,362,18100,30,1630,48900,20,12659,253180,10,19714,197140,5,156262,781310
255,3600000,0,0,120000,0,0,250,25,6250,50,277,13850,30,1363,40890,20,11234,224680,10,17338,173380,5,147407,737035
254,3600000,1,3600000,120000,2,240000,250,27,6750,50,233,11650,30,1043,31290,20,9718,194360,10,14282,142820,5,134297,671485
253,3600000,0,0,120000,3,360000,250,35,8750,50,284,14200,30,1385,41550,20,12357,247140,10,17496,174960,5,156040,780200
252,3600000,0,0,120000,1,120000,250,14,3500,50,218,10900,30,1024,30720,20,10517,210340,10,13413,134130,5,149127,745635
