No.,5+life Prize,5+life Winners,5+life Total,5 Prize,5 Winners,5 Total,4+life Prize,4+life Winners,4+life Total,4 Prize,4 Winners,4 Total,3+life Prize,3+life Winners,3+life Total,3 Prize,3 Winners,3 Total,2+life Prize,2+life Winners,2+life Total,2 Prize,2 Winners,2 Total
778,3600000,1,3600000,120000,0,0,250,22,5500,50,197,9850,30,1078,32340,20,9115,182300,10,14414,144140,5,123540,617700
777,3600000,0,0,120000,3,360000,250,31,7750,50,262,13100,30,1083,32490,20,9581,191620,10,14215,142150,5,127636,638180
776,3600000,0,0,120000,0,0,250,25,6250,50,266,13300,30,1210,36300,20,9531,190620,10,15719,157190,5,128984,644920
775,3600000,1,3600000,120000,1,120000,250,23,5750,50,227,11350,30,931,27930,20,9955,199100,10,13034,130340,5,130474,652370
774,3600000,0,0,120000,0,0,250,30,7500,50,242,12100,30,1218,36540,20,10411,208220,10,15384,153840,5,138386,691930
773,3600000,0,0,120000,2,240000,250,24,6000,50,200,10000,30,883,26490,20,8046,160920,10,12830,128300,5,113139,565695
772,3600000,0,0,120000,1,120000,250,26,6500,50,226,11300,30,1242,37260,20,9958,199160,10,14803,148030,5,135684,678420
771,3600000,0,0,120000,0,0,250,20,5000,50,197,9850,30,1016,30480,20,9351,187020,10,14411,144110,5,128038,640190
770,3600000,0,0,120000,0,0,250,20,5000,50,207,10350,30,1214,36420,20,9826,196520,10,15775,157750,5,131525,657625
769,3600000,0,0,120000,1,120000,250,21,5250,50,199,9950,30,859,25770,20,8614,172280,10,12354,123540,5,122624,613120
768,3600000,1,3600000,120000,2,240000,250,32,8000,50,384,19200,30,1273,38190,20,12513,250260,10,15677,156770,5,143956,719780
767,3600000,0,0,120000,0,0,250,20,5000,50,189,9450,30,986,29580,20,9142,182840,10,14235,142350,5,131262,656310
766,3600000,0,0,120000,3,360000,250,35,8750,50,246,12300,30,1002,30060,20,10482,209640,10,13778,137780,5,138258,691290
765,3600000,0,0,120000,1,120000,250,16,4000,50,180,9000,30,927,27810,20,7898,157960,10,13293,132930,5,116931,584655
764,3600000,1,3600000,120000,1,120000,250,30,7500,50,212,10600,30,958,28740,20,8801,176020,10,13716,137160,5,125283,626415
763,3600000,0,0,120000,1,120000,250,32,8000,50,217,10850,30,1470,44100,20,10680,213600,10,19017,190170,5,143736,718680
762,3600000,1,3600000,120000,2,240000,250,43,10750,50,301,15050,30,1249,37470,20,11301,226020,10,16239,162390,5,145122,725610
761,3600000,0,0,120000,0,0,250,30,7500,50,243,12150,30,1249,37470,20,10012,200240,10,16119,161190,5,134655,673275
760,3600000,1,3600000,120000,2,240000,250,33,8250,50,221,11050,30,1140,34200,20,9879,197580,10,15803,158030,5,133482,667410
759,3600000,0,0,120000,0,0,250,25,6250,50,226,11300,30,1087,32610,20,8821,176420,10,14715,147150,5,124521,622605
758,3600000,0,0,120000,1,120000,250,30,7500,50,341,17050,30,1688,50640,20,13176,263520,10,20147,201470,5,159200,796000
757,3600000,0,0,120000,1,120000,250,44,11000,50,354,17700,30,1214,36420,20,13043,260860,10,16127,161270,5,162643,813215
756,3600000,0,0,120000,3,360000,250,22,5500,50,234,11700,30,1063,31890,20,9975,199500,10,13564,135640,5,136220,681100
755,3600000,0,0,120000,3,360000,250,33,8250,50,225,11250,30,1146,34380,20,10539,210780,10,15631,156310,5,141080,705400
754,3600000,0,0,120000,1,120000,250,34,8500,50,273,13650,30,1282,38460,20,10841,216820,10,16526,165260,5,144587,722935
753,3600000,0,0,120000,2,240000,250,22,5500,50,253,12650,30,892,26760,20,9833,196660,10,12667,126670,5,141139,705695
752,3600000,0,0,120000,1,120000,250,65,16250,50,463,23150,30,1769,53070,20,14129,282580,10,20158,201580,5,163752,818760
751,3600000,0,0,120000,2,240000,250,42,10500,50,330,16500,30,1334,40020,20,12096,241920,10,16539,165390,5,144179,720895
750,3600000,0,0,120000,0,0,250,21,5250,50,219,10950,30,1140,34200,20,9552,191040,10,15340,153400,5,133151,665755
749,3600000,0,0,120000,2,240000,250,26,6500,50,244,12200,30,1156,34680,20,11172,223440,10,15305,153050,5,153489,767445
748,3600000,0,0,120000,1,120000,250,22,5500,50,192,9600,30,936,28080,20,8541,170820,10,13133,131330,5,120373,601865
747,3600000,0,0,120000,0,0,250,38,9500,50,244,12200,30,1293,38790,20,10870,217400,10,17010,170100,5,152288,761440
746,3600000,0,0,120000,2,240000,250,35,8750,50,290,14500,30,1278,38340,20,11332,226640,10,16732,167320,5,149335,746675
745,3600000,0,0,120000,1,120000,250,22,5500,50,226,11300,30,1187,35610,20,9829,196580,10,16350,163500,5,137200,686000
744,3600000,0,0,120000,3,360000,250,31,7750,50,309,15450,30,1238,37140,20,11948,238960,10,15658,156580,5,152079,760395
743,3600000,0,0,120000,4,480000,250,20,5000,50,205,10250,30,940,28200,20,9472,189440,10,13772,137720,5,134954,674770
742,3600000,0,0,120000,2,240000,250,30,7500,50,322,16100,30,1050,31500,20,12479,249580,10,13235,132350,5,152500,762500
741,3600000,0,0,120000,1,120000,250,27,6750,50,234,11700,30,1088,32640,20,9487,189740,10,16539,165390,5,135384,676920
740,3600000,0,0,120000,3,360000,250,22,5500,50,231,11550,30,1152,34560,20,10969,219380,10,16362,163620,5,145770,728850
739,3600000,0,0,120000,1,120000,250,40,10000,50,295,14750,30,1381,41430,20,12147,242940,10,17819,178190,5,150264,751320
738,3600000,0,0,120000,0,0,250,22,5500,50,168,8400,30,1057,31710,20,8865,177300,10,16276,162760,5,129475,647375
737,3600000,0,0,120000,2,240000,250,35,8750,50,257,12850,30,1274,38220,20,10741,214820,10,16668,166680,5,144934,724670
736,3600000,0,0,120000,2,240000,250,33,8250,50,248,12400,30,1516,45480,20,11305,226100,10,20002,200020,5,151191,755955
735,3600000,1,3600000,120000,1,120000,250,23,5750,50,218,10900,30,1072,32160,20,9493,189860,10,15052,150520,5,134645,673225
734,3600000,1,3600000,120000,0,0,250,44,11000,50,314,15700,30,1434,43020,20,11461,229220,10,17974,179740,5,148551,742755
733,3600000,0,0,120000,3,360000,250,25,6250,50,312,15600,30,1207,36210,20,12378,247560,10,15163,151630,5,153322,766610
732,3600000,0,0,120000,0,0,250,33,8250,50,293,14650,30,1263,37890,20,10522,210440,10,17531,175310,5,139263,696315
731,3600000,0,0,120000,1,120000,250,26,6500,50,285,14250,30,1040,31200,20,10606,212120,10,14051,140510,5,138289,691445
730,3600000,0,0,120000,1,120000,250,24,6000,50,248,12400,30,1473,44190,20,10637,212740,10,18608,186080,5,141602,708010
729,3600000,0,0,120000,0,0,250,27,6750,50,280,14000,30,1223,36690,20,10620,212400,10,16799,167990,5,141842,709210
728,3600000,0,0,120000,1,120000,250,31,7750,50,313,15650,30,1260,37800,20,11712,234240,10,17219,172190,5,151254,756270
727,3600000,0,0,120000,3,360000,250,35,8750,50,289,14450,30,1346,40380,20,12002,240040,10,17320,173200,5,147376,736880
726,3600000,0,0,120000,1,120000,250,29,7250,50,261,13050,30,1148,34440,20,10733,214660,10,16706,167060,5,148100,740500
725,3600000,0,0,120000,1,120000,250,24,6000,50,271,13550,30,912,27360,20,10313,206260,10,11580,115800,5,132913,664565
724,3600000,0,0,120000,0,0,250,24,6000,50,254,12700,30,1112,33360,20,10334,206680,10,15415,154150,5,139312,696560
723,3600000,0,0,120000,1,120000,250,15,3750,50,225,11250,30,1065,31950,20,9964,199280,10,14865,148650,5,133883,669415
722,3600000,0,0,120000,1,120000,250,19,4750,50,202,10100,30,948,28440,20,9352,187040,10,13376,133760,5,129754,648770
721,3600000,0,0,120000,1,120000,250,21,5250,50,151,7550,30,744,22320,20,7706,154120,10,10823,108230,5,114490,572450
720,3600000,0,0,120000,2,240000,250,18,4500,50,203,10150,30,1122,33660,20,9899,197980,10,16039,160390,5,134440,672200
719,3600000,0,0,120000,0,0,250,17,4250,50,187,9350,30,1071,32130,20,8843,176860,10,15298,152980,5,128966,644830
718,3600000,0,0,120000,2,240000,250,24,6000,50,223,11150,30,1150,34500,20,9737,194740,10,16331,163310,5,132534,662670
717,3600000,0,0,120000,0,0,250,31,7750,50,216,10800,30,1158,34740,20,9490,189800,10,16060,160600,5,125422,627110
716,3600000,1,3600000,120000,2,240000,250,29,7250,50,392,19600,30,1268,38040,20,13637,272740,10,14900,149000,5,158404,792020
715,3600000,1,3600000,120000,2,240000,250,46,11500,50,302,15100,30,1718,51540,20,12226,244520,10,21127,211270,5,154900,774500
714,3600000,0,0,120000,5,600000,250,13,3250,50,266,13300,30,1004,30120,20,11829,236580,10,13474,134740,5,155617,778085
713,3600000,0,0,120000,0,0,250,24,6000,50,238,11900,30,1158,34740,20,9676,193520,10,15646,156460,5,136060,680300
712,3600000,1,3600000,120000,2,240000,250,46,11500,50,311,15550,30,1418,42540,20,11931,238620,10,18013,180130,5,150847,754235
711,3600000,0,0,120000,0,0,250,29,7250,50,210,10500,30,1180,35400,20,9568,191360,10,16949,169490,5,136622,683110
710,3600000,0,0,120000,4,480000,250,23,5750,50,189,9450,30,1007,30210,20,9215,184300,10,15033,150330,5,141032,705160
709,3600000,0,0,120000,0,0,250,26,6500,50,331,16550,30,1350,40500,20,13128,262560,10,18326,183260,5,170023,850115
708,3600000,0,0,120000,0,0,250,18,4500,50,283,14150,30,1529,45870,20,13719,274380,10,20539,205390,5,178606,893030
707,3600000,1,3600000,120000,0,0,250,34,8500,50,285,14250,30,1397,41910,20,12450,249000,10,19622,196220,5,163843,819215
706,3600000,0,0,120000,0,0,250,16,4000,50,267,13350,30,1227,36810,20,11372,227440,10,16272,162720,5,152381,761905
705,3600000,0,0,120000,0,0,250,43,10750,50,258,12900,30,1429,42870,20,10875,217500,10,17768,177680,5,147330,736650
704,3600000,0,0,120000,1,120000,250,25,6250,50,260,13000,30,1130,33900,20,12344,246880,10,15446,154460,5,156529,782645
703,3600000,0,0,120000,3,360000,250,36,9000,50,251,12550,30,1087,32610,20,10258,205160,10,15318,153180,5,139513,697565
702,3600000,0,0,120000,1,120000,250,13,3250,50,168,8400,30,1041,31230,20,8773,175460,10,14444,144440,5,128343,641715
701,3600000,0,0,120000,0,0,250,31,7750,50,247,12350,30,1236,37080,20,10421,208420,10,16198,161980,5,140476,702380
700,3600000,0,0,120000,0,0,250,25,6250,50,356,17800,30,1509,45270,20,12785,255700,10,17861,178610,5,161209,806045
699,3600000,0,0,120000,0,0,250,17,4250,50,183,9150,30,826,24780,20,9060,181200,10,11540,115400,5,131497,657485
698,3600000,0,0,120000,1,120000,250,21,5250,50,237,11850,30,1245,37350,20,11124,222480,10,17387,173870,5,149903,749515
697,3600000,0,0,120000,2,240000,250,86,21500,50,703,35150,30,2115,63450,20,17795,355900,10,21259,212590,5,179871,899355
696,3600000,0,0,120000,1,120000,250,29,7250,50,212,10600,30,1175,35250,20,10134,202680,10,16575,165750,5,143171,715855
695,3600000,0,0,120000,0,0,250,27,6750,50,256,12800,30,1092,32760,20,11034,220680,10,15989,159890,5,151877,759385
694,3600000,1,3600000,120000,2,240000,250,22,5500,50,224,11200,30,995,29850,20,9590,191800,10,15110,151100,5,137464,687320
693,3600000,0,0,120000,1,120000,250,17,4250,50,230,11500,30,930,27900,20,9666,193320,10,12540,125400,5,138137,690685
692,3600000,0,0,120000,3,360000,250,24,6000,50,279,13950,30,1272,38160,20,11137,222740,10,17435,174350,5,151284,756420
691,3600000,3,10800000,120000,1,120000,250,25,6250,50,272,13600,30,1317,39510,20,11069,221380,10,17916,179160,5,154086,770430
690,3600000,0,0,120000,1,120000,250,33,8250,50,215,10750,30,1298,38940,20,10308,206160,10,18658,186580,5,144296,721480
689,3600000,0,0,120000,2,240000,250,31,7750,50,308,15400,30,1318,39540,20,12387,247740,10,17138,171380,5,155738,778690
688,3600000,0,0,120000,2,240000,250,25,6250,50,277,13850,30,1224,36720,20,11910,238200,10,15180,151800,5,155113,775565
687,3600000,0,0,120000,0,0,250,21,5250,50,250,12500,30,1190,35700,20,10624,212480,10,16530,165300,5,144276,721380
686,3600000,0,0,120000,1,120000,250,15,3750,50,238,11900,30,1078,32340,20,9158,183160,10,15566,155660,5,130836,654180
685,3600000,0,0,120000,3,360000,250,25,6250,50,341,17050,30,1158,34740,20,11843,236860,10,14686,146860,5,150570,752850
684,3600000,0,0,120000,1,120000,250,31,7750,50,207,10350,30,1205,36150,20,9668,193360,10,17810,178100,5,141388,706940
683,3600000,3,10800000,120000,2,240000,250,32,8000,50,198,9900,30,1330,39900,20,10008,200160,10,18502,185020,5,140820,704100
682,3600000,0,0,120000,0,0,250,16,4000,50,210,10500,30,900,27000,20,8372,167440,10,13724,137240,5,121699,608495
681,3600000,0,0,120000,1,120000,250,33,8250,50,193,9650,30,1125,33750,20,9317,186340,10,15585,155850,5,131181,655905
680,3600000,0,0,120000,3,360000,250,29,7250,50,239,11950,30,1130,33900,20,9687,193740,10,17199,171990,5,138341,691705
679,3600000,0,0,120000,2,240000,250,16,4000,50,202,10100,30,896,26880,20,8992,179840,10,12934,129340,5,127373,636865
678,3600000,0,0,120000,0,0,250,25,6250,50,178,8900,30,930,27900,20,8203,164060,10,13795,137950,5,119466,597330
677,3600000,0,0,120000,0,0,250,36,9000,50,312,15600,30,1297,38910,20,11761,235220,10,16648,166480,5,153786,768930
676,3600000,0,0,120000,1,120000,250,54,13500,50,343,17150,30,1406,42180,20,11634,232680,10,17721,177210,5,152574,762870
675,3600000,0,0,120000,3,360000,250,29,7250,50,242,12100,30,1415,42450,20,10784,215680,10,19504,195040,5,147556,737780
674,3600000,1,3600000,120000,5,600000,250,30,7500,50,327,16350,30,1240,37200,20,12082,241640,10,16221,162210,5,158020,790100
673,3600000,0,0,120000,1,120000,250,22,5500,50,172,8600,30,1009,30270,20,8738,174760,10,14378,143780,5,123076,615380
672,3600000,1,3600000,120000,3,360000,250,44,11000,50,375,18750,30,1626,48780,20,13481,269620,10,19913,199130,5,165681,828405
671,3600000,0,0,120000,3,360000,250,42,10500,50,479,23950,30,1272,38160,20,15634,312680,10,14455,144550,5,168358,841790
670,3600000,0,0,120000,0,0,250,30,7500,50,352,17600,30,1215,36450,20,11114,222280,10,17189,171890,5,150121,750605
669,3600000,0,0,120000,1,120000,250,37,9250,50,259,12950,30,1428,42840,20,11584,231680,10,18586,185860,5,151769,758845
668,3600000,0,0,120000,2,240000,250,62,15500,50,473,23650,30,1754,52620,20,16478,329560,10,20585,205850,5,180108,900540
667,3600000,0,0,120000,0,0,250,26,6500,50,233,11650,30,1004,30120,20,10589,211780,10,13294,132940,5,140555,702775
666,3600000,0,0,120000,2,240000,250,25,6250,50,328,16400,30,1265,37950,20,12404,248080,10,16707,167070,5,161852,809260
665,3600000,0,0,120000,2,240000,250,42,10500,50,307,15350,30,1366,40980,20,12693,253860,10,16182,161820,5,158442,792210
664,3600000,0,0,120000,0,0,250,27,6750,50,256,12800,30,1309,39270,20,11492,229840,10,17354,173540,5,148672,743360
663,3600000,0,0,120000,1,120000,250,21,5250,50,253,12650,30,1066,31980,20,11816,236320,10,15020,150200,5,157092,785460
662,3600000,0,0,120000,1,120000,250,36,9000,50,374,18700,30,1694,50820,20,14195,283900,10,18443,184430,5,165178,825890
661,3600000,1,3600000,120000,4,480000,250,35,8750,50,328,16400,30,1510,45300,20,12787,255740,10,18459,184590,5,157547,787735
660,3600000,0,0,120000,2,240000,250,29,7250,50,346,17300,30,1313,39390,20,11982,239640,10,16618,166180,5,150906,754530
659,3600000,0,0,120000,0,0,250,31,7750,50,224,11200,30,1329,39870,20,10840,216800,10,17802,178020,5,151566,757830
658,3600000,0,0,120000,2,240000,250,28,7000,50,343,17150,30,1366,40980,20,13012,260240,10,18247,182470,5,158587,792935
657,3600000,0,0,120000,2,240000,250,41,10250,50,393,19650,30,1538,46140,20,14147,282940,10,18400,184000,5,165567,827835
656,3600000,0,0,120000,0,0,250,27,6750,50,224,11200,30,1056,31680,20,9239,184780,10,15073,150730,5,132161,660805
655,3600000,0,0,120000,2,240000,250,64,16000,50,473,23650,30,1845,55350,20,14846,296920,10,20857,208570,5,166098,830490
654,3600000,0,0,120000,1,120000,250,26,6500,50,298,14900,30,1369,41070,20,12161,243220,10,16973,169730,5,156621,783105
653,3600000,0,0,120000,0,0,250,15,3750,50,225,11250,30,1068,32040,20,9175,183500,10,15594,155940,5,129920,649600
652,3600000,0,0,120000,0,0,250,24,6000,50,256,12800,30,1137,34110,20,10063,201260,10,16173,161730,5,143934,719670
651,3600000,0,0,120000,0,0,250,12,3000,50,216,10800,30,947,28410,20,10288,205760,10,13390,133900,5,146985,734925
650,3600000,0,0,120000,0,0,250,24,6000,50,294,14700,30,1136,34080,20,11435,228700,10,15382,153820,5,153844,769220
649,3600000,0,0,120000,0,0,250,21,5250,50,204,10200,30,1013,30390,20,8937,178740,10,14560,145600,5,128284,641420
648,3600000,0,0,120000,0,0,250,35,8750,50,311,15550,30,1610,48300,20,12575,251500,10,19608,196080,5,162077,810385
647,3600000,0,0,120000,1,120000,250,39,9750,50,376,18800,30,1441,43230,20,12474,249480,10,18381,183810,5,156884,784420
646,3600000,0,0,120000,2,240000,250,40,10000,50,277,13850,30,1544,46320,20,12324,246480,10,18678,186780,5,154531,772655
645,3600000,0,0,120000,1,120000,250,29,7250,50,266,13300,30,1356,40680,20,11692,233840,10,17157,171570,5,151918,759590
644,3600000,0,0,120000,2,240000,250,23,5750,50,202,10100,30,986,29580,20,9166,183320,10,14415,144150,5,130045,650225
643,3600000,0,0,120000,0,0,250,39,9750,50,323,16150,30,1761,52830,20,12869,257380,10,19568,195680,5,158862,794310
642,3600000,1,3600000,120000,0,0,250,33,8250,50,225,11250,30,1046,31380,20,9176,183520,10,15423,154230,5,135607,678035
641,3600000,0,0,120000,2,240000,250,31,7750,50,243,12150,30,1267,38010,20,10055,201100,10,17760,177600,5,148787,743935
640,3600000,0,0,120000,0,0,250,23,5750,50,258,12900,30,1193,35790,20,10320,206400,10,16927,169270,5,144421,722105
639,3600000,0,0,120000,0,0,250,23,5750,50,223,11150,30,883,26490,20,9591,191820,10,12557,125570,5,139150,695750
638,3600000,1,3600000,120000,4,480000,250,25,6250,50,264,13200,30,1549,46470,20,11700,234000,10,19853,198530,5,154235,771175
637,3600000,0,0,120000,0,0,250,27,6750,50,230,11500,30,1062,31860,20,9973,199460,10,16101,161010,5,142887,714435
636,3600000,0,0,120000,0,0,250,24,6000,50,247,12350,30,1339,40170,20,10151,203020,10,18956,189560,5,143284,716420
635,3600000,0,0,120000,1,120000,250,21,5250,50,222,11100,30,938,28140,20,10148,202960,10,13113,131130,5,148239,741195
634,3600000,0,0,120000,1,120000,250,23,5750,50,233,11650,30,1063,31890,20,9866,197320,10,17060,170600,5,141028,705140
633,3600000,0,0,120000,0,0,250,29,7250,50,253,12650,30,1174,35220,20,11604,232080,10,16292,162920,5,154064,770320
632,3600000,0,0,120000,1,120000,250,36,9000,50,312,15600,30,1388,41640,20,12459,249180,10,18598,185980,5,161477,807385
631,3600000,0,0,120000,1,120000,250,24,6000,50,218,10900,30,947,28410,20,9995,199900,10,12774,127740,5,135958,679790
630,3600000,0,0,120000,1,120000,250,21,5250,50,214,10700,30,1421,42630,20,10175,203500,10,17630,176300,5,142114,710570
629,3600000,1,3600000,120000,0,0,250,25,6250,50,262,13100,30,1207,36210,20,10957,219140,10,16876,168760,5,151324,756620
628,3600000,0,0,120000,0,0,250,30,7500,50,286,14300,30,1245,37350,20,10788,215760,10,17144,171440,5,145697,728485
627,3600000,0,0,120000,0,0,250,30,7500,50,195,9750,30,1065,31950,20,9211,184220,10,16067,160670,5,136157,680785
626,3600000,0,0,120000,2,240000,250,33,8250,50,282,14100,30,1434,43020,20,11798,235960,10,18570,185700,5,155670,778350
625,3600000,0,0,120000,2,240000,250,28,7000,50,272,13600,30,1168,35040,20,11493,229860,10,15859,158590,5,153391,766955
624,3600000,0,0,120000,2,240000,250,28,7000,50,334,16700,30,1206,36180,20,12481,249620,10,16209,162090,5,160886,804430
623,3600000,0,0,120000,2,240000,250,23,5750,50,254,12700,30,1216,36480,20,10405,208100,10,17070,170700,5,149926,749630
622,3600000,1,3600000,120000,2,240000,250,32,8000,50,291,14550,30,1408,42240,20,12132,242640,10,18017,180170,5,156677,783385
621,3600000,0,0,120000,2,240000,250,51,12750,50,446,22300,30,1584,47520,20,14901,298020,10,19724,197240,5,175636,878180
620,3600000,0,0,120000,2,240000,250,22,5500,50,303,15150,30,1079,32370,20,12806,256120,10,14124,141240,5,166682,833410
619,3600000,0,0,120000,3,360000,250,26,6500,50,244,12200,30,1246,37380,20,11113,222260,10,17348,173480,5,149265,746325
618,3600000,0,0,120000,2,240000,250,30,7500,50,257,12850,30,1383,41490,20,11360,227200,10,18232,182320,5,153692,768460
617,3600000,1,3600000,120000,0,0,250,32,8000,50,238,11900,30,1124,33720,20,10646,212920,10,16106,161060,5,149667,748335
616,3600000,0,0,120000,1,120000,250,24,6000,50,221,11050,30,1057,31710,20,11433,228660,10,14720,147200,5,166510,832550
615,3600000,2,7200000,120000,0,0,250,41,10250,50,376,18800,30,1650,49500,20,14456,289120,10,20771,207710,5,179647,898235
614,3600000,0,0,120000,1,120000,250,34,8500,50,315,15750,30,1633,48990,20,12492,249840,10,20963,209630,5,161814,809070
613,3600000,0,0,120000,2,240000,250,23,5750,50,278,13900,30,1412,42360,20,12562,251240,10,18295,182950,5,163872,819360
612,3600000,0,0,120000,2,240000,250,25,6250,50,304,15200,30,1295,38850,20,11727,234540,10,17820,178200,5,156400,782000
611,3600000,0,0,120000,0,0,250,26,6500,50,208,10400,30,1006,30180,20,9078,181560,10,16020,160200,5,139213,696065
610,3600000,0,0,120000,0,0,250,42,10500,50,334,16700,30,1357,40710,20,13423,268460,10,17629,176290,5,173565,867825
609,3600000,0,0,120000,1,120000,250,23,5750,50,195,9750,30,1024,30720,20,9458,189160,10,15771,157710,5,139040,695200
608,3600000,0,0,120000,0,0,250,26,6500,50,240,12000,30,1232,36960,20,10626,212520,10,18513,185130,5,154865,774325
607,3600000,0,0,120000,1,120000,250,41,10250,50,276,13800,30,1270,38100,20,11955,239100,10,17303,173030,5,156383,781915
606,3600000,1,3600000,120000,1,120000,250,29,7250,50,301,15050,30,1506,45180,20,12984,259680,10,18803,188030,5,166402,832010
605,3600000,0,0,120000,1,120000,250,30,7500,50,334,16700,30,1289,38670,20,13042,260840,10,18482,184820,5,175230,876150
604,3600000,0,0,120000,1,120000,250,43,10750,50,368,18400,30,1701,51030,20,15105,302100,10,21079,210790,5,189786,948930
603,3600000,0,0,120000,1,120000,250,30,7500,50,400,20000,30,1646,49380,20,14377,287540,10,20707,207070,5,178447,892235
602,3600000,0,0,120000,0,0,250,28,7000,50,266,13300,30,1231,36930,20,11587,231740,10,17882,178820,5,153114,765570
601,3600000,0,0,120000,2,240000,250,34,8500,50,344,17200,30,1613,48390,20,12560,251200,10,19614,196140,5,154586,772930
600,3600000,0,0,120000,2,240000,250,32,8000,50,209,10450,30,1073,32190,20,8946,178920,10,15526,155260,5,131486,657430
599,3600000,0,0,120000,2,240000,250,31,7750,50,272,13600,30,1275,38250,20,11761,235220,10,16608,166080,5,153341,766705
598,3600000,0,0,120000,1,120000,250,28,7000,50,194,9700,30,1171,35130,20,10052,201040,10,16125,161250,5,146882,734410
597,3600000,0,0,120000,0,0,250,31,7750,50,246,12300,30,1094,32820,20,9898,197960,10,15483,154830,5,139575,697875
596,3600000,0,0,120000,1,120000,250,24,6000,50,255,12750,30,1312,39360,20,11770,235400,10,18361,183610,5,158137,790685
595,3600000,0,0,120000,1,120000,250,22,5500,50,200,10000,30,949,28470,20,9947,198940,10,11982,119820,5,137952,689760
594,3600000,0,0,120000,1,120000,250,12,3000,50,254,12700,30,986,29580,20,10539,210780,10,13052,130520,5,145504,727520
593,3600000,0,0,120000,5,600000,250,45,11250,50,424,21200,30,1419,42570,20,14432,288640,10,17881,178810,5,163081,815405
592,3600000,0,0,120000,0,0,250,28,7000,50,251,12550,30,1351,40530,20,11166,223320,10,18030,180300,5,151460,757300
591,3600000,0,0,120000,1,120000,250,30,7500,50,281,14050,30,1270,38100,20,11316,226320,10,17045,170450,5,157935,789675
590,3600000,0,0,120000,2,240000,250,31,7750,50,390,19500,30,1311,39330,20,14888,297760,10,15042,150420,5,179590,897950
589,3600000,0,0,120000,2,240000,250,59,14750,50,403,20150,30,1458,43740,20,12299,245980,10,18180,181800,5,150751,753755
588,3600000,0,0,120000,0,0,250,52,13000,50,291,14550,30,1545,46350,20,11772,235440,10,20029,200290,5,156256,781280
587,3600000,0,0,120000,1,120000,250,28,7000,50,217,10850,30,1134,34020,20,9741,194820,10,16268,162680,5,136061,680305
586,3600000,1,3600000,120000,2,240000,250,36,9000,50,270,13500,30,1230,36900,20,10715,214300,10,16260,162600,5,145780,728900
585,3600000,0,0,120000,3,360000,250,21,5250,50,261,13050,30,1322,39660,20,11316,226320,10,17620,176200,5,154888,774440
584,3600000,2,7200000,120000,3,360000,250,38,9500,50,333,16650,30,1441,43230,20,11669,233380,10,18898,188980,5,159127,795635
583,3600000,0,0,120000,0,0,250,30,7500,50,291,14550,30,1431,42930,20,11209,224180,10,17826,178260,5,147546,737730
582,3600000,1,3600000,120000,2,240000,250,51,12750,50,381,19050,30,1450,43500,20,13500,270000,10,17843,178430,5,162114,810570
581,3600000,0,0,120000,1,120000,250,43,10750,50,316,15800,30,1799,53970,20,13024,260480,10,23191,231910,5,172821,864105
580,3600000,0,0,120000,1,120000,250,28,7000,50,221,11050,30,1034,31020,20,10096,201920,10,15181,151810,5,141714,708570
579,3600000,0,0,120000,2,240000,250,35,8750,50,332,16600,30,1077,32310,20,13065,261300,10,14826,148260,5,169487,847435
578,3600000,0,0,120000,1,120000,250,21,5250,50,223,11150,30,1013,30390,20,9180,183600,10,15318,153180,5,133318,666590
577,3600000,0,0,120000,0,0,250,31,7750,50,220,11000,30,1209,36270,20,9692,193840,10,15359,153590,5,136105,680525
576,3600000,0,0,120000,3,360000,250,22,5500,50,223,11150,30,1051,31530,20,9085,181700,10,16233,162330,5,135298,676490
575,3600000,1,3600000,120000,1,120000,250,28,7000,50,335,16750,30,1327,39810,20,13038,260760,10,16805,168050,5,164482,822410
574,3600000,0,0,120000,3,360000,250,25,6250,50,235,11750,30,1107,33210,20,9917,198340,10,16824,168240,5,146306,731530
573,3600000,0,0,120000,0,0,250,20,5000,50,247,12350,30,1211,36330,20,10986,219720,10,17590,175900,5,157023,785115
572,3600000,0,0,120000,3,360000,250,29,7250,50,302,15100,30,1463,43890,20,12388,247760,10,18027,180270,5,158960,794800
571,3600000,0,0,120000,1,120000,250,36,9000,50,346,17300,30,1388,41640,20,13364,267280,10,17200,172000,5,169398,846990
570,3600000,0,0,120000,0,0,250,25,6250,50,240,12000,30,1211,36330,20,11629,232580,10,17077,170770,5,154637,773185
569,3600000,1,3600000,120000,1,120000,250,21,5250,50,195,9750,30,993,29790,20,9335,186700,10,15266,152660,5,131848,659240
568,3600000,0,0,120000,3,360000,250,28,7000,50,205,10250,30,1135,34050,20,9370,187400,10,15905,159050,5,134017,670085
567,3600000,0,0,120000,0,0,250,29,7250,50,199,9950,30,1041,31230,20,9718,194360,10,14761,147610,5,132084,660420
566,3600000,0,0,120000,0,0,250,35,8750,50,282,14100,30,1284,38520,20,11281,225620,10,17749,177490,5,157174,785870
565,3600000,0,0,120000,1,120000,250,19,4750,50,208,10400,30,937,28110,20,8788,175760,10,14606,146060,5,129015,645075
564,3600000,0,0,120000,0,0,250,44,11000,50,296,14800,30,1476,44280,20,13145,262900,10,19225,192250,5,167452,837260
563,3600000,0,0,120000,0,0,250,38,9500,50,298,14900,30,1360,40800,20,12488,249760,10,19213,192130,5,169491,847455
