DrawDate,Match 6 Prize,Match 6 Winners,Match 6 Total,Match 5 Prize,Match 5 Winners,Match 5 Total,Match 4 Prize,Match 4 Winners,Match 4 Total,Match 4 plus Bonus Prize,Match 4 plus Bonus Winners,Match 4 plus Bonus Total,Match 3 plus Bonus Prize,Match 3 plus Bonus Winners,Match 3 plus Bonus Total,Match 5 plus Bonus Prize,Match 5 plus Bonus Winners,Match 5 plus Bonus Total,Match 3 Prize,Match 3 Winners,Match 3 Total,Match 2 plus Bonus Prize,Match 2 plus Bonus Winners,Match 2 plus Bonus Total
2023-12-20,9274400,0,0,1842,15,27630,53,851,45103,217,32,6944,28,1086,30408,46075,1,46075,9,14529,130761,3,10544,31632
2023-12-16,8878340,0,0,1069,31,33139,46,1167,53682,130,64,8320,23,1592,36616,192994,1,192994,8,19985,159880,3,14389,43167
2023-12-13,8403279,0,0,2832,9,25488,60,689,41340,221,29,6409,31,881,27311,137728,0,0,10,12865,128650,3,8709,26127
2023-12-09,8037912,0,0,2539,13,33007,54,999,53946,154,54,8316,21,1667,35007,95224,0,0,9,18685,168165,3,15648,46944
2023-12-06,7564749,0,0,1506,16,24096,54,724,39096,178,34,6052,25,1047,26175,40178,0,0,10,11929,119290,3,10414,31242
2023-12-02,7219380,0,0,1393,23,32039,45,1154,51930,112,72,8064,20,1757,35140,53435,1,53435,8,19252,154016,3,14962,44886
2023-11-29,6760060,0,0,1638,14,22932,44,848,37312,175,33,5775,26,949,24674,38252,1,38252,8,14802,118416,3,8840,26520
2023-11-25,6431246,0,0,2362,13,30706,54,919,49626,161,48,7728,24,1375,33000,263058,1,263058,9,16291,146619,3,13592,40776
2023-11-22,5991064,0,0,2223,10,22230,53,686,36358,147,38,5586,19,1272,24168,211849,0,0,10,11571,115710,3,12493,37479
2023-11-18,5672326,0,0,775,39,30225,39,1272,49608,211,36,7596,30,1106,33180,174769,0,0,8,19313,154504,3,10653,31959
2023-11-15,5239080,0,0,1306,17,22202,55,662,36410,136,41,5576,22,1099,24178,124368,0,0,9,11868,106812,3,10874,32622
2023-11-11,4920917,0,0,1805,17,30685,49,1017,49833,154,50,7700,21,1574,33054,87354,0,0,9,16704,150336,3,14548,43644
2023-11-08,4480925,0,0,1205,18,21690,52,685,35620,202,27,5454,24,995,23880,36168,0,0,9,11490,103410,3,10063,30189
