No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
1842,127273727,143043.10,23879.60,1041.30,89.30,30.30,47.50,8.80,11.50,6.90,5.50,4.20,2.80
1841,113923081,0,31620.60,820.70,95.40,32.80,35.40,6.50,9,6.80,4.30,3.80,3
1840,104104433,108208.70,25290.10,684.90,81.30,29.50,28.20,7.20,7.40,6.70,3.70,3.60,2.80
1839,92054251,159578.90,15984.10,1025,108.80,34.40,37.60,8.60,8.20,7.20,3.80,3.90,2.80
1838,82880184,145979.50,17058.90,1012,74.50,20.50,44.80,7.50,11.40,5.10,5.70,3.80,2.30
1837,71243649,0,46627,945.70,92.10,27.50,50.90,8.90,12.20,6.30,5.80,4.30,2.70
1836,63560012,105354,24622.90,935.20,101.40,23.80,55.50,9.90,12.80,6.30,5.90,4.80,2.70
1835,53570179,0,111297.90,938.10,97.10,28.70,54,8,12.80,6,6.10,4.10,2.70
1834,45027369,92640.70,18043,766.30,89.50,33,37.30,8.30,8.60,7.50,3.90,4,3.10
1833,33794376,0,90063.20,1155.20,117.90,34.80,62.70,9.80,12.60,7.10,5.80,4.50,2.80
1832,25709199,0,17175.30,944,95.20,32.80,36.60,8.60,8.40,7.60,3.70,3.90,3
1831,14594500,83293.40,0,932.80,95.40,38.60,43.20,8.70,9.60,7.60,4.30,3.90,2.90
1830,25602915,0,22139.30,1231.40,106.30,34,38.30,8.90,8.60,8.10,3.50,4.20,3.30
1829,14213700,195699.30,10164,3165.80,133.50,39,60.20,10.30,13.70,7.80,6.30,4.80,3
1828,209300000,246037.60,13503.10,870.10,91.10,28.90,42.70,8.60,10.70,6.80,5.10,4.20,2.80
1827,183946479,449612.60,26270.40,948.70,90.30,32.20,41.40,8.40,9.60,7,4.50,4,2.90
1826,168069397,236839.10,13024.20,957.80,90.20,28.30,45,7.60,11.20,6,5.50,3.80,2.50
1825,151084676,241142.50,28179.50,1595.80,114.40,40.10,54.50,10.10,12.50,8.10,5.60,4.50,3.10
1824,137561429,0,23875.10,1081.60,97.30,32,43.80,8.60,9.70,7.30,4.40,3.90,2.90
1823,121975243,215693.30,15123.30,1273.10,108.40,38.30,44.60,9.10,10.40,8,4.80,4.20,3.20
1822,109187000,0,17873.90,750.60,81.60,29.60,34.30,7.80,8.50,6.90,4,3.80,2.90
1821,14123600,50033.60,16371.10,910.50,88.60,30.50,40.60,8.40,9.60,7.40,4.50,4,3
1820,43285890,0,15175.20,1080.30,99.20,34.80,37.20,8.50,8.90,7.70,4,4.10,3.20
1819,32322607,124113.30,14503.60,1232,91.70,26.90,45.10,7.40,10.40,5.50,5.20,3.90,2.50
1818,24259190,0,10872.60,1058.20,83.70,26.40,41.60,7.70,10.50,6.10,5.10,3.90,2.70
1817,14108300,0,19866.10,651.30,76.50,28.90,23.60,6.80,6,6.90,3.20,3.40,2.90
1816,65341620.50,0,30023.90,1039,111.80,35.40,52.40,9.60,11.30,7.80,5,4.40,3
1815,53555254,0,0,993,105.70,37.50,54.90,10.40,12.30,8.20,5.40,4.60,3.20
1814,44444737,0,106738.50,787.20,103.40,32.90,45,8.20,11.20,6.60,5.60,4,2.70
1813,33048456,0,0,1139.20,108.70,38.70,53,9.70,11.20,7.80,5.10,4.30,3
1812,24863884,0,0,1227.50,119.60,40.30,44.20,9.80,9,8.50,3.80,4.30,3.30
1811,14268100,0,79331.10,1235.40,136.20,43.10,49.90,10.50,11.40,8.70,4.90,4.70,3.40
1810,83474081.80,66244.60,9953,678.10,67,24.90,32.90,7.10,7.90,6.30,3.90,3.60,2.80
1809,72694900,85082.50,0,884.80,68.10,24.20,39.80,6.70,9.80,6.10,4.80,3.40,2.70
1808,64403626,59248.60,9586.60,606.50,67.90,26.10,32.60,6.80,8.30,6.40,4.20,3.60,2.80
1807,53997370,68232.20,19136.40,1568.50,111.80,37.20,38.30,8.90,8.80,8,3.90,4.10,3.20
1806,44419556,128811.80,40140.60,1209.90,86.20,32.90,42.40,7.70,10.30,7.60,4.90,3.70,3.10
1805,32480651,0,0,1979.80,123.90,36.90,58.40,10.70,14.40,8.10,6.60,5.10,3.30
1804,24174526,233625.50,18200.70,1172.90,103,32.80,41.60,8.70,10.10,7,4.80,4.10,2.90
1803,14081100,137981.30,11726.70,1255.50,94.60,28,48.70,8.40,12.30,6.30,5.80,4.10,2.60
1802,34188089,0,12253.70,572.50,74,24.40,30.70,7.10,7.90,6,4,3.70,2.70
1801,23871600,0,6503.10,1012.70,78.20,16.60,49.10,8.10,13.10,4.70,6.50,4.20,2.20
1800,14108300,163018.80,14287.50,757.40,82.80,27.10,36.30,7.70,8.80,6.50,4.30,3.80,2.80
1799,64077706,0,12857.20,667.40,63.90,25,29.70,6.10,7.20,6,3.60,3.40,2.70
1798,56493998,0,16438.20,1001.70,105.40,28.30,50.50,9.20,12,6.80,5.50,4.40,2.90
1797,42059626,0,0,985.40,91.30,36.10,31.70,7.80,7.40,7.40,3.70,3.60,3
1796,33484744,0,57918.40,963.90,113.80,34.70,51.70,10,12.30,7.70,5.70,4.70,3.20
1795,22425451,0,95359.90,1339.70,116.90,39.80,47.30,9.80,10.80,8.50,4.80,4.50,3.30
1794,14128700,0,19227.20,781.10,70.70,26.10,28.40,7,7.40,6.20,3.70,3.50,2.70
1793,177033699.20,53642.70,13432.70,1065,72.30,23.10,47.50,7.70,12.10,5.70,5.90,4,2.60
1792,161692181,110304.60,10502.90,949.70,74.50,22.50,43.90,7.40,10.60,5.70,5.10,3.80,2.60
1791,140419087,321840.60,13676.20,867.70,77.70,27.70,42.60,7.80,11.10,6.30,5.60,3.90,2.70
1790,128577965,760055.80,19737.50,1084.80,124.10,40.40,46.20,9.20,9.70,7.80,4.40,4.10,2.90
1789,114433995,185970.10,10866,990.50,82.20,24.20,43.20,7.70,11.20,5.80,5.80,4,2.50
1788,103665143,233762.30,13658.50,1309,115.90,38,54.70,10,12.80,8.30,5.50,4.60,3.30
1787,91973310,84935.20,14888,843.10,78.50,27.50,38.30,8,9.30,6.50,4.30,4,2.80
1786,82255604,109852.40,32092.90,799.60,105,34.40,33.80,7.70,8.20,7.20,3.70,3.80,3.10
1785,71368025,0,33209.50,1349.20,119.50,31,58.80,10.30,13.70,6.70,6.50,4.90,2.70
1784,63622199,297406.10,19859.60,1082.50,78.60,28.60,48.90,7.20,11.40,6.50,5.60,3.70,2.80
1783,52767199,196845.10,10223.50,1194.10,74.80,23.10,48.30,7.40,11.90,5.80,5.70,3.80,2.60
1782,44214819,258088.60,20106.50,1073.60,98,23.60,49.40,9.20,12.80,5.60,6,4.70,2.60
1781,32964079,377211.50,17632.10,1017,105.10,36.30,43.70,9.70,9.70,8.50,4.10,4.50,3.40
1780,24975215,162376.90,18975,1182,88.50,33.70,50.40,8.60,12,7.80,5.40,4.10,3.20
1779,14263000,88658.30,11840.50,832.70,89.20,27.60,38.20,7.60,9.10,6.40,4.40,3.70,2.70
1778,135824926,67914.50,9523.60,611.60,60.30,17.50,33.50,6.50,9.40,5,4.90,3.60,2.40
1777,120099439,90102.30,14740.80,998.10,99.90,30.10,49.90,8.50,11.90,6.90,5.50,4.20,2.90
1776,108576000,0,11614.80,957.60,81.10,24.20,45.70,7.40,11.30,5.60,5.60,3.70,2.50
1775,54491831,101410.90,0,1181.10,101.60,36.80,40.20,9,8.90,8.10,3.90,4,3.20
1774,45909304,167294.50,9022.90,676.50,89.40,32.50,27.20,8,6.60,7.60,3,3.90,3.20
1773,34996870,0,113535.90,1410.30,107.30,31.60,56.90,9.80,13.20,7.60,6.30,4.80,3.10
1772,26624239,0,24874.60,1684.30,95.20,24.70,49.70,8.30,12.50,5.80,5.90,4.10,2.50
1771,14332700,358025.50,13946,2004.80,134.40,43.90,53.20,10.90,11.50,9.20,4.80,4.80,3.60
