No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
1456,14572400,36551.30,14644.50,280,43.60,21.10,12.60,4.60,3.80,5.20,2.40,2.70,2.40
1455,18204387.20,190872,7434.90,868.40,71,20.40,40.10,7.20,10.30,5.30,5.20,3.70,2.40
1454,45496988,0,102904,1256.20,130.50,38.70,58.50,10.30,13.80,8,6.30,4.60,3
1453,33769472,367161.20,0,1909.10,95.90,33.20,47.80,7.20,11.60,6.70,5.20,4.20,3
1452,25427047,75443.40,8816.10,784.50,46.30,16,34.70,5.40,9.60,4.30,5.30,3.20,2.20
1451,14502700,0,12954.50,1424.10,112.60,37.60,44.30,9.60,9.90,8.40,4.20,4.30,3.20
1450,96295864,158344.30,61679.40,1309.80,113.50,36.70,55.80,9.60,12.90,7.50,6,4.40,2.90
1449,80768518,0,113143.20,1236.30,113.60,39.40,44.40,9.40,9.30,8.10,3.90,4.30,3.30
1448,71953143,70096.60,7709.50,1200.60,65,15.70,47.80,7,12.50,4.70,6.10,4,2.40
1447,61543198,136542.20,13676.60,1064.90,96.30,32.30,42.40,8,9.30,7.10,4.70,3.80,2.80
1446,53612736,0,11675.10,982.80,80.80,28.60,40,8,10,6.60,4.70,3.90,2.80
1445,41620685,0,3825,903.80,68.80,11.60,44.90,7.40,12.60,3.60,6.50,4.20,1.90
1444,33265919,0,81070.50,1046.40,117,38,44.60,8.60,10,7.50,4.40,3.80,2.90
1443,22680547,82072.80,15345.40,853.50,88.90,28.90,32.20,7.50,7.90,6.60,3.80,3.60,2.70
1442,14591100,0,24832.10,1104.90,104.70,37,47.70,9.20,11.70,7.70,5.30,4.20,3
1441,22605876,0,4625.40,365.50,36.50,12.90,28.40,4.80,8.60,4.20,4.80,2.80,2.30
1440,14545200,0,20603.40,1035,102.40,33.30,47.80,9.50,12.10,7.40,5.60,4.40,2.90
1439,14572400,0,12775.80,1038,75.30,23,42.10,7,10.80,5.30,5.30,3.60,2.30
1438,66920458,293696.20,19611.90,1042.90,81.20,28.20,41.20,7.60,10.70,6.40,5,3.90,2.80
1437,55319641,76788.70,17946.70,508.10,45.20,20.50,31.10,5.80,8.70,6,4.60,3.20,2.70
1436,46189363,0,88682.20,1526.20,129,41.60,60.60,10.40,13.60,8.20,6.20,4.50,3
1435,34205994,0,27563.10,990.60,88.30,32,33.30,7.60,7.80,6.80,3.60,3.60,2.80
1434,25792320,66843.30,13669.60,558.30,68.40,25.70,25.80,6.40,6.80,6.30,3.40,3.30,2.80
1433,14650600,170277.30,13265.50,774.70,62.80,25.30,38.80,6.20,10.40,5.90,5.10,3.30,2.80
1432,26086547,68783.60,6619.40,515.40,55.60,19.50,32.50,6,9,5.30,4.60,3.40,2.50
1431,14630200,117817.80,0,887.20,90.90,31.90,38.40,7.90,8.60,7.60,3.90,3.70,3.10
1430,111540000,0,13430.60,909.40,97.80,34.90,46.50,8.70,10.30,7.50,4.60,4,2.90
1429,76697764,109471.40,7310,1226,76,28.50,41.10,7.20,9.70,6.70,4.30,3.60,2.90
1428,67621751,136840.30,15990.90,1732.40,110,30,53.10,9.60,12.60,6.30,5.70,4.50,2.50
1427,57062224,0,159156.30,1006.20,94.30,33.90,32.80,7.90,7.50,6.90,3.40,3.70,2.80
1426,47309401,100402.40,23465.70,849.80,79.90,24.90,38.80,7,9.60,5.40,4.70,3.50,2.40
1425,35026951,0,42838.70,1482.50,106.80,32,57.70,9.40,12.90,6.80,6,4.30,2.60
1424,26067927,0,15644.30,1065.90,78.50,25.50,38.30,7.30,9.50,5.90,5,3.70,2.60
1423,14611500,0,16147.30,1323.50,93,34.20,49,8.30,11.10,7.70,4.80,4,3.20
1422,60398926,133360.40,15584.20,995.70,69.30,25,44.80,7,11.50,6.40,5.20,3.70,2.80
1421,46934848,130928.10,7650,893.50,78.60,21.70,40.70,7.40,10.70,5.30,5.30,3.80,2.40
1420,37822859,190960.70,13389.20,758.20,96.70,29.40,43.30,8.30,10.60,6.50,5,4,2.70
1419,23689352,0,0,1205.30,95.10,29.30,50.40,8.60,12.10,6.10,5.70,4.10,2.50
1418,14818900,91378.30,11864.80,489.10,62.50,20.80,24,6,6,5,3.10,3.20,2.30
1417,59041812.70,141034.40,14126.50,1100,88.70,26.80,52.50,8.90,13.20,6.30,6.30,4.50,2.60
1416,49320956,103945.80,0,741.80,90.80,30.70,33.30,7.90,7.90,7,3.60,3.70,2.90
1415,36649681,0,53737.30,920.50,98,35,42.10,9,8.80,7.60,3.60,4.20,3
1414,27117635,0,8842,1377,84.80,29.40,45.80,7.80,11.40,6.60,5.30,3.90,2.80
1413,14611500,0,0,1260.50,110.30,36.20,49.90,8.70,11.10,7.90,4.80,3.80,3.10
1412,122550350.80,0,20993.60,1188.90,94.90,33.30,40.70,8.70,9.30,7.80,4,4,3.10
1411,109533174,141462.10,33062,1056.20,99.10,35.80,37.20,8.30,8.40,7.10,3.80,3.80,2.80
1410,98680896,141345.80,7865.40,935.40,93.50,32.50,38.60,8.30,8.60,7.20,3.90,3.80,2.90
1409,85405694,163344.80,14316.10,1081,104.60,36,39.50,9,8.60,7.70,3.70,4,3.10
1408,75281575,151775.60,23648.30,1699.80,115.10,33.20,56.30,10,13.20,7,6.10,4.50,2.70
1407,62934911,116124.40,18093.40,845.30,99.10,33.90,39,8.60,9.10,7.30,4.10,4.10,3
1406,52197036,85740.40,10790.20,1248.30,73.30,18.80,48.60,7.50,12.30,4.70,6.20,4,2.20
1405,37825963,221383.90,0,786.10,124.40,31.80,60.10,10.50,14.50,6.80,6.80,4.90,2.70
1404,27914329,0,25586.30,1732.50,115,40.70,53.40,9.80,11.90,8.30,5.10,4.30,3
1403,14728800,206246.20,19281.20,1000.90,77.60,27.90,38,6.90,9.60,6.50,4.50,3.40,2.80
1402,182028000,1927121.30,9034.80,911.90,75.40,24.80,40.20,7.30,10.60,6.10,5.40,4,2.80
1401,180663000,2813488.90,29819.70,1211.40,92.60,29.50,51.60,8.80,12.40,7.30,5.60,4.50,3.20
1400,178761140,123284.80,17288.20,1242.60,90.40,30.50,48.20,8.30,11.70,6.90,5.50,4,2.80
1399,157644778,137339.50,9440.70,666.50,60.70,21.30,35.50,6,8.70,5.70,4.40,3.10,2.60
1398,144125471,271597.80,14648.50,988.50,92.10,26.90,49.60,8,11.90,5.90,5.70,3.90,2.50
1397,127347464,0,17682.40,786.80,75.20,24.10,48,7,11.60,5.70,5.60,3.50,2.40
1396,114088000,100576.20,17629.70,583.10,75.30,26.10,33.60,7.30,8.10,6.30,3.90,3.60,2.70
1395,36764670,0,8745.80,972.80,95.50,29.70,53.80,8.80,13.40,6.50,6.10,4.30,2.80
1394,27189645,0,0,1077.40,89.20,28.50,36.90,7.30,8.70,6.10,4.20,3.40,2.50
1393,15067100,0,0,889.80,68.80,22.10,25.90,6.50,6.30,5.40,3,3.20,2.30
1392,71712110,544574.10,63637.90,1132.60,101.10,33.90,46.10,8.20,10.30,7.50,4.70,3.80,3
1391,60310182,63883.60,22395.90,1213.10,94.10,31.60,42.30,7.70,9.90,7.10,4.60,3.50,2.80
1390,50129756,252829,0,836.50,81.90,25.50,41.50,7.40,10.20,5.90,4.90,3.60,2.50
1389,37176013,0,20670.90,1030.10,78.10,25.20,36.20,7.70,8.40,6.40,3.70,3.60,2.60
1388,27784790,119151.70,18565.10,738.20,88.30,32.20,39.30,8.30,8.40,7.10,3.80,3.80,2.80
1387,15352700,81919.90,0,6277.30,99.60,33.60,44,8,10.90,6.40,4.70,3.80,2.70
1386,39774466.40,72215.20,13502.30,894.80,76.80,23.60,43.50,8,10.10,6.20,4.60,4,2.70
1385,25557847,0,20298.90,903.20,92.20,34.20,37,7.70,7.90,6.60,3.40,3.50,2.70
1384,15595800,0,128796,552.70,68.90,25.70,25.10,6.30,6.30,6.10,3,3,2.50
1383,39844969,95239.60,0,1848.80,86.10,26.40,42.40,7.90,10.30,5.90,4.80,3.70,2.40
1382,28785119,0,10413.20,405.40,35.80,15.80,25.30,3.90,7.10,4.10,3.90,2.30,2
1381,15398600,51956.30,7727.40,1260.70,62.20,18.90,40.10,6,9.90,4.80,4.90,3.20,2.20
1380,183120000,1886380,18207.80,1320.70,78.20,24.90,49.80,8,12.90,6.20,6.40,4.20,2.90
1379,181500000,0,11680,895.50,81.20,25.60,43.30,7.50,10.40,5.70,4.90,3.60,2.30
1378,180800000,0,9243.20,984.90,78.90,21.70,42.50,7.30,10,5.10,4.70,3.60,2.30
1377,160906372,209578.40,0,863.50,102.60,31.80,48.20,8.70,11.80,6.60,5.40,4,2.60
1376,146729731,242775.50,6079.30,589.10,45.20,16.80,34.60,5.20,8.90,4.80,4.60,2.90,2.30
1375,128449942,114741.10,11173.70,1044.10,92.60,28.40,50.30,8.40,11.90,6.50,5.70,4,2.70
1374,116103000,0,0,919.50,90.30,29.40,35.10,8,7.70,7,3.20,3.60,2.80
1373,69354137,0,0,601.30,67.90,24,28.40,6.40,7.10,5.50,3.50,3.20,2.40
1372,60684475,0,4868,703.90,54.60,16.40,37,5.90,9.80,4.40,5,3.30,2.10
1371,45088804,0,27803.60,1237.10,90.40,26.10,46.60,7.50,11.70,5.80,5.60,3.60,2.40
1370,36006084,0,16268.30,741.50,77.20,27.90,44.30,7.20,9.80,5.90,4.60,3.30,2.40
1369,23844506,43372,5068.30,513.90,36,15.50,25.80,4.30,7.10,4.50,3.80,2.50,2.20
1368,15301700,104782.40,12244.60,565,53.60,20,23.40,5.60,6.10,5.10,3.10,3,2.40
1367,79315197.70,0,9424.40,1100.80,66.20,19.30,44.60,6.50,10.60,4.90,5.20,3.30,2.10
1366,70979568,0,4144.30,1082.60,43.80,13.60,40.50,5.10,10.10,3.80,5.20,2.90,1.80
1365,59778232,0,10958.40,1038.80,75.10,25.40,40.40,6.40,9,5.70,4.20,3,2.30
1364,49383832,0,20526.10,639.30,85.20,30.30,36.70,7.70,8.20,6.60,3.40,3.50,2.70
1363,36618665,0,0,1199.70,102.40,29.20,46.70,8.70,12.20,6.30,5.40,4.10,2.50
1362,27489353,0,31953.20,678.50,81.20,29.90,29.10,7.20,6.40,6.70,2.80,3.30,2.60
1361,15485300,0,14203.40,1382.50,103.10,32,48.50,8.70,11.50,7.10,5.20,4,2.80
1360,27761091,0,12365.40,641.90,74.40,28,27.30,6.70,6.50,5.90,3.10,3.10,2.40
1359,15531200,0,11987.90,1400.20,91.70,21.40,50.90,8.60,12.70,5.30,6,4.30,2.20
1358,118729000,155916.10,7288,727.50,65.70,21,34.90,6.80,8.70,5.60,4.10,3.50,2.50
1357,71063522,79147.50,30830.10,1371.80,88.40,27.30,43.60,8,9.80,6.30,4.60,3.80,2.60
1356,61732489,98413.50,19167.30,587.20,56.90,20.10,28.70,5.80,7.30,5,3.60,3,2.20
1355,47250235,120589.30,12078.70,731.50,74,26.80,33.20,6.80,8.10,6.20,3.90,3.40,2.60
1354,37525275,217843,12728.30,1268.60,100.70,30.40,58.50,9.30,13.30,7.10,6.10,4.40,2.80
1353,24534097,0,18797.80,1018.20,100.80,32.40,55.50,8.70,12.80,6.80,5.80,3.90,2.60
1352,15174200,112950.20,13199.10,865.50,89.80,30,34.30,7.70,7.70,6.80,3.40,3.60,2.80
1351,139992069,99076.20,0,983.50,79.20,28.80,42.70,7.20,10.20,6.10,4.80,3.50,2.50
1350,126895018,74641.90,8722.50,470.20,52,20.70,22.90,5,5.90,5.20,3.20,2.70,2.30
1349,112618069,0,10675.50,778.20,71.30,24.50,40.70,6.90,9.80,5.60,4.70,3.50,2.30
1348,100807281,98796.80,15393.60,918.10,80,29.80,32.10,7.30,7.10,6.80,3.30,3.40,2.70
1347,87266444,82374.10,0,999.40,74,21.50,43.10,6.90,11,5.20,5.30,3.50,2.30
1346,77977112,98853.80,0,1499.20,98.90,27.20,48.30,8,11.60,5.50,5.50,3.80,2.30
1345,66130274,183991.50,0,864.10,93.10,29.60,30.20,7.40,6.90,6.30,3.10,3.30,2.50
1344,57863944,0,15892.60,962.50,103.90,30.90,44.50,8.20,10.10,6.40,4.60,3.70,2.50
1343,44373299,0,0,544,60.90,25.60,22.40,5.30,5.40,5,2.70,2.80,2.30
1342,35077775,0,87534.10,1147.70,107.90,34.50,40,8.50,8.70,7.50,3.60,3.70,2.90
1341,23795774,0,9287.50,460.20,50.30,19.80,18.80,4.70,4.80,4.70,2.50,2.50,2.10
1340,15483600,131811.30,13202.70,1251.50,95.50,24.60,52.90,8,11.80,5.60,5.80,3.70,2.20
1339,44865863,113575.80,0,670.30,82.30,28.10,33.80,7,7.80,6.20,3.90,3.30,2.60
1338,35838894,56226.30,18397.40,540.50,55.10,22.50,22.70,5.30,5.70,5.60,3,2.70,2.40
1337,24013488,0,64186.50,1196,85.90,27.30,54,7.90,12.60,6.20,5.80,3.70,2.50
1336,15225200,45869.90,6891.80,455.30,57.40,21.50,22,5.30,5.70,5.30,2.90,2.80,2.30
1335,130059174,70066.30,8187.80,755.60,70.30,22.40,42.60,6.90,10.20,5.30,4.80,3.50,2.30
1334,117260000,77632,5498.10,576.60,67,23.20,29.60,6.50,7.30,5.80,3.50,3.20,2.50
1333,56510237,0,4875.20,1056.30,68.40,19.60,36.40,6.50,9,4.80,4.30,3.20,2.10
1332,46859882,45829.10,5355.50,790.10,52.70,15,35.80,5.50,8.90,4.30,4.40,3,2.10
1331,34732623,0,127178,1072,85.10,27.50,38.30,7.60,9.60,6.10,4.50,3.60,2.50
1330,26333468,97030.30,11338.70,807.20,69.90,22.40,35.70,6.40,9.50,5.20,4.60,3.20,2.20
1329,15245600,148217.80,17320.40,1348.70,62.50,17.80,37.20,6.20,9.40,4.40,4.80,3.30,2.10
1328,46399553,0,33046.40,812.60,100.60,36.40,38.40,8.70,8.90,7.50,3.70,3.90,2.90
1327,34451775,106371.70,0,703.90,77.80,29,31.70,7.60,7.10,6.40,3.30,3.50,2.60
1326,25999539,138772.90,8845.50,452.30,50.70,19.10,24.20,5.40,6.60,5,3.40,3,2.30
1325,15148700,55559.30,7213.90,1189.50,68.10,21.40,38.60,6.50,9.20,5.30,4.40,3.30,2.30
1324,15294900,74131.70,6663.70,196.90,55.40,21.30,14.70,5.40,5.50,5.10,3.40,2.90,2.30
1323,16530705.70,58719.50,11436.40,339.20,39.40,15.60,20.80,4.80,6,4.40,3.40,2.80,2.20
1322,25387006,0,34890.80,504.90,58.50,24.40,21.20,5.60,5.40,5.40,2.90,2.80,2.40
1321,15170800,0,10549.40,938.80,77.70,28.80,39.10,7.10,9.40,6.90,4.10,3.40,2.80
1320,65175962,375723.30,14635.40,882.30,68,20.20,37.80,7,9.80,5.50,4.60,3.80,2.60
1319,56472701,0,0,722.20,74.50,21.70,37.30,7,9.70,5.50,4.70,3.60,2.40
1318,49837132,85602.30,40013.30,1083.70,95.40,33.50,40,8,8.90,7.10,3.90,3.60,2.80
1317,42596857,0,0,1565.70,56.60,24.60,35.40,5.50,8.90,5.90,4.40,2.90,2.60
1316,36228690,0,17717.20,1226.30,101.40,35.20,38.50,8.40,8.40,7.20,3.60,3.80,2.80
1315,28167968,119448.40,18611.30,869.50,76.60,25.80,35.70,6.60,8.80,5.80,4.30,3.40,2.50
1314,22310697,147729.50,6277.60,370.80,47.20,17.60,21.40,5,6,4.70,3.20,2.90,2.30
1313,15026300,0,29011.70,427.90,45,16.10,24.50,4.90,6.90,4.40,3.80,2.80,2.10
1312,58366487.50,170723,11400.20,994.20,107.90,24.60,57.20,9.40,12.80,6.50,5.80,4.60,2.80
1311,51538058,251086.60,0,6996.40,135.20,39.70,61.30,11.10,13.10,8.80,5.50,4.80,3.20
1310,46937085,0,63893.90,837.80,67.10,20.60,39.20,6.60,9.70,5.20,4.70,3.30,2.30
1309,40506751,0,0,2009.50,101,30.40,53.90,8.30,12.20,6.40,5.70,3.70,2.50
1308,34546128,0,0,751.90,94.60,32.20,41.30,8.40,8.40,7.30,3.60,3.80,2.80
1307,27308650,0,32053.20,756.50,62.30,20.30,33.30,6.60,8.40,5.30,4.10,3.50,2.40
1306,22095531,86425.10,15149.20,1715.80,67.50,28,45.30,6.80,10.20,6.50,4.70,3.30,2.70
1305,15621300,0,31205.40,920.60,69.40,17.90,48.50,7.50,12,4.40,5.70,3.80,2
1304,15696100,0,11009.40,1008.50,84.90,22.80,51.60,7.30,11.40,5,5.40,3.60,2.10
1303,57869670,0,5451.20,848.90,47.10,12.40,36.30,5.20,10.20,3.60,5.20,2.90,1.80
1302,50321191,104739.50,12239.60,1361.50,66.80,20.90,50.90,6.60,12.10,5,6,3.50,2.30
1301,35567254,89816.70,7633.30,871.70,77.90,25.60,52,7.90,13.10,6.10,6.20,4,2.60
1300,26423336,159609.40,0,1452.30,141.40,38.40,56.80,10.80,13.70,8,6,5,3.10
1299,14841000,0,9636,774.50,85.80,24.80,49.60,8.30,12.70,5.60,5.90,4.10,2.40
1298,57826962,134316.20,20927.90,454.70,49.30,19.20,30.90,5.20,8.50,5,4.70,2.90,2.40
1297,43515336,205741.20,24042.50,730.60,79,26.40,31.30,7.10,8,6.40,4,3.70,2.80
1296,34421724,131467.30,20484,598.10,65.50,27.60,27.10,7,7.30,6.50,3.60,3.50,2.80
1295,22469712,196804.60,0,1302.40,122.10,36.10,53,10.20,13.30,7.90,6,4.90,3.30
1294,14140600,0,20734.20,1761.30,114.70,33.70,53.40,10.60,13,8.10,5.80,4.80,3.10
1293,14342900,0,0,1230.90,113.10,34.50,51.90,9.50,12.10,7.70,5.60,4.60,3.10
1292,110500000,90210.10,10039.80,525.30,69,25.80,26.50,6.30,7,6,3.50,3.30,2.60
1291,34634832,110594.70,11487.90,685.10,90,30.10,39.80,7.50,9.90,7.40,4.70,3.60,3
1290,24336652,60159.50,9341.20,1749.80,72.30,27.80,47.60,7.20,10.20,6.50,6.10,4.40,2.50
1289,14409200,0,0,1929.10,105.80,41.90,69.10,8.40,12.10,7.80,6.50,4.60,2.80
1288,24139851,137403.30,13334.50,806.80,64,20.60,36.50,6.60,7.80,5.60,4.40,4.30,2.50
1287,14463600,172016.40,24038.70,2799.50,132.20,50.50,65.60,9.80,10,9.50,5,5.10,3.20
1286,85964733,225740.30,0,1607.30,94.20,38.50,44.30,7.70,8.30,7.50,5.10,4.40,2.70
1285,78000490,176931.80,32967.50,4243.50,117,49.10,81.70,9.80,14.60,9.20,7.70,5.20,3.10
1284,71717560,0,0,1731.70,105.60,38,60.20,9.30,10.40,8.20,5.40,5.10,2.90
1283,64021946,0,8242.60,2447.80,108.60,39.10,75,9.50,13.30,7.20,7.20,5.20,2.60
1282,55523057,147674.20,21496.80,3235.30,126.30,41.80,96.70,11.20,17.70,8.10,9.40,6,2.80
1281,44717396,432936.90,33611.90,2740.10,127.80,48.80,86.50,11.20,14.40,9.70,7.10,5.80,3.30
1280,33089326,337517.30,17469.20,2480.70,113.10,35.30,75.90,9.20,13.10,7.30,7.10,5,2.60
1279,23534756,0,0,1508.30,94,37.40,45.80,7.20,8.20,7.10,4.90,4.10,2.50
1278,14484000,0,52344,2075.90,126.60,46.80,71.60,8.80,13.20,8.60,7.10,4.90,3
1277,41621418,0,9211.50,914.10,64.80,21.90,46.60,7.20,9.30,6.10,5.40,4.40,2.50
1276,32875644,0,17494.40,1845.60,90.70,29.10,73.40,8.60,13.40,6.60,7.60,5.10,2.60
1275,21715889,0,0,1119.30,76,31.90,40.30,7.70,7.90,7.20,4.60,4.60,2.70
1274,14319100,0,0,4806.20,132.90,40.30,90.30,10.70,15.90,7.90,8.50,5.70,2.80
1273,40957696.60,0,0,2624.30,153.80,48,97.10,11.30,17.40,8.70,9.30,6.40,3.10
1272,32747133,376426,0,2199.10,107.60,35.20,62.60,8.40,10.90,7,6.10,4.70,2.60
1271,22196254,133632.30,0,1522.30,108.40,42,48.40,8.70,8.30,7.90,4.50,4.60,2.80
1270,14608100,174165.50,27043.40,2834.50,115,39.20,80.20,9.80,14.70,8.70,7.80,5.50,3.10
1269,105100701.90,0,13336.20,1696,92.30,33.40,50.40,8.10,9.90,6.90,5.60,4.70,2.60
1268,98311223,84897.80,21751,2875.40,116.50,37.40,77.50,9.70,14.10,7.50,7.60,5.30,2.60
1267,89866288,139558.40,0,1728.10,115.90,41.10,71.20,9.10,11.90,8,6.30,4.80,2.70
1266,84012704,250569,29180.20,1067.10,86.40,34.80,40.20,7.50,8.10,7.10,4.90,4.60,2.70
1265,74873475,0,18630.80,2700.10,112.80,35.40,93.70,10.10,16.60,7.40,8.80,5.70,2.70
1264,69286018,411229.10,47889.90,2179,133.70,49.90,68.80,11.20,11.10,9.90,5.10,5.70,3.40
1263,62293451,0,27846.80,2724.10,112.80,41.10,71.50,9.70,13.30,8,6.90,5.30,2.80
1262,53313310,271805.10,37983.90,3572.90,155.30,54.30,102.40,13.20,17.10,10.90,8.60,6.80,3.50
1261,41922445,0,26153.90,1683.20,118,46,85.40,9.60,13.10,9.10,6.70,4.80,3.10
1260,33536983,124836.10,10262,2942.40,138.50,39.90,99.60,12.20,18.40,7.60,9.70,6.70,2.60
1259,22772993,0,14095.50,3265.80,135.30,40.80,77,10.10,13.40,8.60,6.70,5.10,3.10
1258,14830800,0,33781,2015,114.10,43.30,74.30,8.90,12.40,8.20,6.40,4.60,2.80
1257,170221000,3696996.80,17583.10,2687.60,129.20,44.20,90,10.50,16.20,8.30,8.80,5.70,2.90
1256,169024000,1844973.60,36561.60,1511.20,140,51,59,11.40,10.80,10.10,6.80,5.90,3.50
1255,168720000,1784722.10,33760,2711.10,147.60,53.70,98.90,12.60,17.20,10.30,8.80,6.70,3.50
1254,169005000,3530287.70,52469.50,2444.20,163.30,56.40,86,13,14.60,11,6.80,6.90,3.80
1253,167751000,3631906.10,20775.80,3126.80,162.30,53.50,96.20,12.40,16.60,10.40,8.40,6.50,3.50
1252,167609701,0,8130.50,1446.10,87.30,33.20,51.50,8.30,9.30,7.40,5.10,4.60,2.60
1251,155282163,146767.90,23928.70,2721.90,143.30,45.80,88.10,11.70,15.60,8.40,7.90,6.40,2.90
1250,145566007,333217.50,19402.50,1829.40,106.40,43.50,65.80,8.60,11.70,8.40,6.30,4.60,2.90
1249,134122038,0,33104.40,2158.90,93.70,37.10,50.10,8.10,9.10,7.40,4.90,4.40,2.60
1248,125665319,170093.20,21609,1321.20,92.80,35.10,48.60,7.70,8.80,7.30,4.90,4.30,2.60
1247,116404085,0,169518.90,2473.20,101.30,39.50,66.40,8.70,11.80,7.90,6.40,4.70,2.70
1246,107759330,0,138415.80,2257,140,49.10,78.20,11.30,12.30,9.50,6,5.70,3.10
1245,97958413,0,15135.50,2313.50,109.80,36,71.80,9.60,12,7.70,6,5.20,2.80
1244,91533020,164541.50,0,1874.50,98.10,38.20,52.70,8.80,9,7.80,4.70,4.80,2.70
1243,83338679,0,33511.10,2341.60,106.10,36.80,71.50,9.20,12.40,7.70,6.40,4.80,2.50
1242,77208525,0,17307.20,1656.20,98.10,36.40,58,8.10,10.20,6.90,5.40,4.30,2.40
1241,70899768,106568.20,41368.20,2334.70,93,35.40,68.90,7.10,12.30,7.10,6.40,4.10,2.60
1240,65218898,0,78453.90,4039.30,142.80,38.90,94.10,11.40,15.60,8,8,5.90,2.70
1239,52917787,277001.30,14337,3712.60,131.20,42.20,100.50,10.60,17,7.70,9.10,5.70,2.60
1238,43958121,73682.20,6240.50,919.90,43.60,17.20,39.40,6,8.20,5.80,4.50,3.80,2.40
1237,33364792,0,34468.40,1404.90,80.80,33.30,43.90,6.90,8.40,6.50,4.70,4,2.40
1236,25032609,0,27348.70,1967.20,119.30,40.20,73.40,9.40,12.20,7.40,6.60,4.90,2.50
1235,15254100,0,13776.90,924.90,92.10,34.10,30.80,6.80,5.60,6.70,3.20,3.80,2.40
1234,96710509,88633.70,9830.30,807.80,59.70,26.60,34.70,6.10,7,6.10,4.30,3.70,2.40
1233,88185562,0,27222.20,1416.50,73.50,28.50,53.30,5.90,10.20,5.90,5.80,3.50,2.30
1232,81180289,286532,40041.90,2083.50,159.20,50.90,79.10,12,13.50,10.10,6.30,6.20,3.40
1231,73547916,0,65941,2389.10,94.90,40.10,63.30,8.60,11.40,8.30,5.80,4.50,2.90
1230,67458174,0,12401.30,1714.20,93.60,35.70,57.60,8.10,9.80,7.50,5.10,4.50,2.70
1229,60173279,280252,14505.30,2902.40,115.40,34.40,96.50,9.80,16.70,7,9,5.50,2.50
1228,51583856,229927.90,10710.50,1540.80,118.50,36.70,67.20,9.40,12.30,7.30,6.70,5.10,2.60
1227,40597881,0,662362.50,4080.20,143.10,50.50,82,11.20,13.50,9.10,6.70,5.90,3.10
1226,32775384,346537.80,53808.40,1315.90,89.70,35,34.30,7.50,6.60,7.10,3.80,4.40,2.70
1225,22579505,0,0,938.10,75,31.40,38.90,7.80,7.10,7.40,3.60,4.50,2.80
1224,15152100,0,11849.60,1987.20,101.90,36.20,50.40,7.90,8.20,7.50,4.30,4.30,2.60
1223,123458008,137056.70,0,3122.80,126.10,39.40,92.60,11.50,16.70,8.10,8.80,6.40,2.80
1222,115726000,0,17455.80,1408.30,96.70,36.30,51.30,8.10,9.60,7.40,5.20,4.50,2.70
1221,22504557,0,36240.50,1899.20,139.70,50.60,62.40,10.50,10.50,9,5,5.40,3
1220,15034800,647319.80,0,2949.80,157.30,50.70,85.20,11.30,15.30,8.70,8.10,5.90,2.80
1219,28837305,72609.70,14797.60,1484.70,66.70,28.30,47.60,6.50,9.50,5.90,5.90,4,2.30
1218,49736732,113878,15914.10,1415.20,84.10,34.30,65.10,7.60,11.50,7.40,6.10,4.40,2.80
1217,39211724,0,159048.80,3674.10,160.30,48.90,105.90,12.90,18.40,10.10,9.60,6.80,3.30
1216,31674666,132775.50,77312.30,2521,131.80,51.90,81.30,10.40,13.70,9.80,6.80,5.40,3.30
1215,21687521,236245.60,0,2153.10,100.70,32.80,67.10,8.40,12.40,6.80,7.30,4.90,2.50
1214,14694800,0,0,1902,119.70,48.50,63.90,9.60,10.50,9,5.50,4.90,2.90
1213,21438454,161685.10,12552.70,2125.30,121.70,41.70,70.80,10.40,13,8.30,7.20,5.60,2.80
1212,14467000,159488.90,0,2271.20,97.10,35.30,70.50,8.30,12.60,7.80,6.80,4.70,2.90
1211,21815835,164954.40,0,2013.40,92,28.80,66.40,8.90,13.50,6.60,7.30,5.10,2.60
1210,14682900,0,128687.50,2460.20,146,47.10,87.60,11.20,16,9.40,8.30,6,3.10
1209,38254645.20,0,21383.80,1376.20,96.10,37.30,41.70,7.60,7.80,7.50,4.40,4.30,2.70
1208,31273852,0,265007.30,2720.80,134.40,50.10,86.30,10.90,14,9.10,7.20,5.50,3
1207,21879091,0,13718.40,2236.70,138.30,39.20,73.50,10.10,13.30,7.70,7.10,5.20,2.60
1206,14701600,0,51152,3263.40,159.10,59.20,90.10,12.40,13.10,10.60,6.10,6,3.40
1205,68329653,118616.70,0,1987.20,109.80,35.10,89.70,10.90,14.80,7.80,8,5.90,2.80
1204,62771731,0,35038.60,1173.80,81.90,31.60,42.80,7,7.70,6.90,4.40,4.10,2.60
1203,50833887,146790.80,27351.40,2306.60,87.10,35.40,64.10,8,12.70,8.10,6.80,4.80,3
1202,43015001,253489.30,17712.10,2221.40,112.60,36,73.60,9.50,13.80,7.40,7.60,5.50,2.70
1201,32010911,76230.80,20714.10,2431.60,98.30,38,53.20,8.60,10.10,7.70,5.60,5,2.80
1200,24580716,99307.90,12454.50,1799.80,93.70,30.60,68.30,9.30,13.60,7,7.50,5.40,2.70
1199,14552000,0,37549,3443.70,132,44.30,97.40,10.10,17.20,7.70,9.20,5.60,2.80
1198,71057439,146939.20,12079,3239.90,127.60,41.60,102,10.80,18.10,8.10,9.70,5.90,2.80
1197,64356515,0,7078.20,609,39.70,15.30,35.70,5.20,8,4.60,5,3.60,2.10
